sub,total5,C5,Cproportion5,month_x,total10,C10,Cproportion10,month_y,maturity_difference_score
4,34,0,0.0,5,205,87,0.424390243902439,10,0.424390243902439
6,12,0,0.0,5,183,74,0.40437158469945356,10,0.40437158469945356
10,35,0,0.0,5,84,18,0.21428571428571427,10,0.21428571428571427
11,26,1,0.038461538461538464,5,126,26,0.20634920634920634,10,0.16788766788766787
27,49,0,0.0,5,63,14,0.2222222222222222,10,0.2222222222222222
28,8,0,0.0,5,147,75,0.5102040816326531,10,0.5102040816326531
43,29,0,0.0,5,75,7,0.09333333333333334,10,0.09333333333333334
47,11,2,0.18181818181818182,5,119,80,0.6722689075630253,10,0.49045072574484344
48,6,0,0.0,5,97,17,0.17525773195876287,10,0.17525773195876287
53,24,2,0.08333333333333333,5,90,8,0.08888888888888889,10,0.005555555555555564
59,24,0,0.0,5,90,22,0.24444444444444444,10,0.24444444444444444
64,29,5,0.1724137931034483,5,98,22,0.22448979591836735,10,0.05207600281491906
71,120,2,0.016666666666666666,5,199,36,0.18090452261306533,10,0.16423785594639867
72,17,0,0.0,5,97,48,0.4948453608247423,10,0.4948453608247423
74,20,0,0.0,5,97,50,0.5154639175257731,10,0.5154639175257731
75,23,1,0.043478260869565216,5,30,8,0.26666666666666666,10,0.22318840579710145
76,16,1,0.0625,5,42,2,0.047619047619047616,10,-0.014880952380952384
85,12,0,0.0,5,80,42,0.525,10,0.525
87,113,2,0.017699115044247787,5,44,18,0.4090909090909091,10,0.39139179404666136
91,34,2,0.058823529411764705,5,47,20,0.425531914893617,10,0.3667083854818523
94,43,0,0.0,5,62,18,0.2903225806451613,10,0.2903225806451613
96,45,8,0.17777777777777778,5,77,21,0.2727272727272727,10,0.09494949494949492
97,11,0,0.0,5,25,7,0.28,10,0.28
99,57,2,0.03508771929824561,5,57,16,0.2807017543859649,10,0.24561403508771928
101,76,17,0.2236842105263158,5,55,6,0.10909090909090909,10,-0.1145933014354067
105,38,4,0.10526315789473684,5,75,24,0.32,10,0.21473684210526317
106,50,2,0.04,5,173,105,0.6069364161849711,10,0.566936416184971
113,74,13,0.17567567567567569,5,80,22,0.275,10,0.09932432432432434
115,19,0,0.0,5,34,0,0.0,10,0.0
118,108,2,0.018518518518518517,5,27,2,0.07407407407407407,10,0.05555555555555555
